BASE_YEAR,BOAT_NO,PRACE_NCNT,N1CK_NCNT,N2CK_NCNT,N3CK_NCNT,AVRG_CKSN_SCORE_VALUE,YUNDAE_RT,BEST_SAIL_TIME_VALUE,N2JU_BEST_TIME_VALUE,N3JU_BEST_TIME_VALUE
2022,B2018062,178,24,31,40,5.16,30.9,01:14.7,01:14.7,01:53.2
2022,B2018063,155,16,21,27,4.39,23.9,01:14.5,01:14.5,01:55.7
2022,B2018064,174,17,33,28,4.84,28.7,01:15.4,01:15.4,01:55.2
2022,B2018082,162,26,36,29,5.44,38.3,01:15.1,01:15.1,01:55.9
2022,B2018083,179,18,32,37,4.82,27.9,01:15.4,01:15.4,01:54.1
2022,B2020053,142,17,25,32,5.09,29.6,01:13.1,01:13.1,:.
2022,B2020058,103,9,13,13,3.92,21.4,01:13.6,01:13.6,:.
2022,B2018040,176,28,32,23,5.08,34.1,01:15.1,01:15.1,01:54.8
2022,B2018039,177,27,25,29,4.77,29.4,01:14.7,01:14.7,01:53.0
2022,B2018038,185,30,35,27,5.19,35.1,01:14.5,01:14.5,01:56.7
2022,B2018037,192,30,37,40,5.33,34.9,01:13.6,01:13.6,01:55.0
2022,B2018036,121,25,14,17,5.36,32.2,01:15.2,01:15.2,01:52.7
2022,B2018035,150,19,27,20,4.74,30.7,01:14.7,01:14.7,01:52.4
2022,B2018034,188,37,31,25,5.21,36.2,01:14.9,01:14.9,01:53.6
2022,B2018033,178,29,32,25,5.13,34.3,01:14.4,01:14.4,01:53.9
2022,B2018032,166,25,31,39,5.6,33.7,01:15.0,01:15.0,01:52.6
2022,B2018031,173,35,23,31,5.34,33.5,01:15.1,01:15.1,01:53.7
2022,B2018030,173,30,34,25,5.45,37,01:15.0,01:15.0,01:54.1
2022,B2018029,173,28,27,25,4.97,31.8,01:14.7,01:14.7,01:53.5
2022,B2020021,134,32,24,21,5.65,41.8,01:12.8,01:12.8,:.
2022,B2020020,150,27,23,27,5.2,33.3,01:12.4,01:12.4,:.
2022,B2020019,150,24,25,26,5.02,32.7,01:13.1,01:13.1,:.
2022,B2020018,137,35,21,24,5.91,40.9,01:12.5,01:12.5,:.
2022,B2020017,137,23,20,29,5.4,31.4,01:12.6,01:12.6,:.
2022,B2020016,162,22,33,25,5.1,34,01:13.0,01:13.0,:.
2022,B2020015,168,25,25,29,4.97,29.8,01:12.8,01:12.8,:.
2022,B2020014,159,16,25,29,4.79,25.8,01:13.7,01:13.7,:.
2022,B2020013,158,32,25,19,5.09,36.1,01:12.0,01:12.0,:.
2022,B2020012,164,25,36,28,5.49,37.2,01:12.9,01:12.9,:.
2022,B2020011,125,28,24,18,5.75,41.6,01:13.6,01:13.6,:.
2022,B2020010,144,21,20,28,4.97,28.5,01:12.8,01:12.8,:.
2022,B2020009,153,23,30,25,5.36,34.6,01:13.0,01:13.0,:.
2022,B2020008,135,23,29,28,5.63,38.5,01:13.0,01:13.0,:.
2022,B2020007,168,32,32,20,5.37,38.1,01:13.0,01:13.0,:.
2022,B2020006,153,24,28,22,5.24,34,01:12.7,01:12.7,:.
2022,B2018102,136,36,26,21,6.21,45.6,01:14.2,01:14.2,01:52.7
2022,B2018007,170,35,31,39,5.95,38.8,01:13.9,01:13.9,01:52.4
2022,B2018006,169,24,31,31,5.17,32.5,01:15.0,01:15.0,01:54.6
2022,B2020109,154,25,21,27,5.1,29.9,01:13.6,01:13.6,:.
2022,B2020108,123,20,14,22,4.75,27.6,01:13.1,01:13.1,:.
2022,B2020107,139,16,18,14,4.25,24.5,01:14.0,01:14.0,:.
2022,B2020106,153,17,25,27,4.71,27.5,01:13.1,01:13.1,:.
2022,B2020105,108,9,16,17,4.26,23.1,01:13.5,01:13.5,:.
2023,B2016098,165,19,28,27,4.99,28.5,01:16.4,01:16.4,01:58.2
2023,B2016016,213,32,38,47,5.32,32.9,01:15.1,01:15.1,01:58.9
2023,B2016017,195,33,47,41,5.87,41,01:14.9,01:14.9,01:56.2
2023,B2016018,221,39,33,40,5.33,32.6,01:15.5,01:15.5,01:55.9
2023,B2018033,178,29,32,25,5.13,34.3,01:14.4,01:14.4,01:53.9
2023,B2018034,188,37,31,25,5.21,36.2,01:14.9,01:14.9,01:53.6
2023,B2018035,150,19,27,20,4.74,30.7,01:14.7,01:14.7,01:52.4
2023,B2018036,121,25,14,17,5.36,32.2,01:15.2,01:15.2,01:52.7
2023,B2018037,192,30,37,40,5.33,34.9,01:13.6,01:13.6,01:55.0
2023,B2020041,145,38,23,25,6.1,42.1,01:12.6,01:12.6,:.
2023,B2020042,159,38,25,31,5.92,39.6,01:12.9,01:12.9,:.
2023,B2020054,146,16,18,21,4.41,23.3,01:12.8,01:12.8,:.
2023,B2020055,133,32,27,20,5.92,44.4,01:12.8,01:12.8,:.
2023,B2020056,106,10,12,11,3.98,20.8,01:13.1,01:13.1,:.
2023,B2020066,154,31,29,20,5.43,39,01:12.9,01:12.9,:.
2023,B2020067,160,42,18,33,5.69,37.5,01:11.9,01:11.9,:.
2023,B2020068,151,44,26,19,6.19,46.4,01:12.3,01:12.3,:.
2023,B2020069,182,27,30,27,4.95,31.3,01:12.4,01:12.4,:.
2023,B2020070,150,28,30,22,5.4,38.7,01:12.8,01:12.8,:.
2023,B2020071,179,25,37,24,4.98,34.6,01:12.7,01:12.7,:.
2023,B2016088,209,44,31,30,5.4,35.9,01:14.6,01:14.6,01:59.2
2023,B2016089,206,54,45,33,6.22,48.1,01:14.4,01:14.4,01:58.9
2023,B2018025,150,29,26,37,5.85,36.7,01:14.7,01:14.7,01:51.8
2023,B2018026,145,15,15,22,4.08,20.7,01:14.2,01:14.2,01:55.5
2023,B2016019,208,40,37,27,5.33,37,01:15.9,01:15.9,01:55.7
2023,B2016075,199,38,31,29,5.18,34.7,01:14.9,01:14.9,01:55.5
2023,B2016076,195,31,35,32,5.25,33.8,01:14.7,01:14.7,01:58.2
2023,B2016077,185,25,31,25,4.92,30.3,01:15.0,01:15.0,01:56.2
2023,B2016078,176,46,32,25,5.95,44.3,01:15.3,01:15.3,01:55.4
2023,B2016079,159,12,23,27,4.35,22,01:16.0,01:16.0,01:55.9
2023,B2016080,196,43,37,28,5.71,40.8,01:16.0,01:16.0,01:59.0
2023,B2016081,201,35,40,28,5.27,37.3,01:15.2,01:15.2,02:03.5
2023,B2016082,198,33,36,40,5.35,34.8,01:14.5,01:14.5,01:56.1
2023,B2016083,220,40,41,41,5.49,36.8,01:14.7,01:14.7,01:59.4
2023,B2016084,165,30,35,28,5.57,39.4,01:16.1,01:16.1,01:55.0
2023,B2016085,173,37,31,25,5.51,39.3,01:15.1,01:15.1,01:55.9
2023,B2016086,210,42,31,29,5.34,34.8,01:14.7,01:14.7,01:56.7
