BASE_YEAR,BOAT_NO,PRACE_NCNT,N1CK_NCNT,N2CK_NCNT,N3CK_NCNT,AVRG_CKSN_SCORE_VALUE,YUNDAE_RT,BEST_SAIL_TIME_VALUE,N2JU_BEST_TIME_VALUE,N3JU_BEST_TIME_VALUE
2023,B2020046,170,20,23,27,4.55,25.3,01:13.5,01:13.5,:.
2023,B2020047,133,33,28,26,6.28,45.9,01:12.0,01:12.0,:.
2023,B2020048,140,14,22,16,4.31,25.7,01:13.6,01:13.6,:.
2023,B2020049,158,16,12,31,4.24,17.7,01:11.8,01:11.8,:.
2023,B2020050,96,7,16,14,4.33,24,01:13.9,01:13.9,:.
2023,B2020051,175,37,27,27,5.46,36.6,01:12.3,01:12.3,:.
2023,B2020052,116,13,12,16,4.17,21.6,01:12.7,01:12.7,:.
2023,B2020053,160,18,33,33,5.18,31.9,01:13.1,01:13.1,:.
2023,B2020059,155,18,23,24,4.7,26.5,01:13.1,01:13.1,:.
2023,B2020060,189,29,31,29,4.99,31.7,01:12.8,01:12.8,:.
2023,B2020061,153,15,28,20,4.52,28.1,01:11.8,01:11.8,:.
2023,B2020062,201,30,26,38,4.84,27.9,01:12.5,01:12.5,:.
2023,B2020078,168,22,29,37,5.07,30.4,01:13.0,01:13.0,:.
2023,B2020079,166,30,27,29,5.19,34.3,01:12.1,01:12.1,:.
2023,B2020080,180,29,31,29,5.06,33.3,01:12.9,01:12.9,:.
2023,B2020081,152,16,26,20,4.45,27.6,01:13.3,01:13.3,:.
2023,B2020082,185,25,40,29,5.12,35.1,01:13.0,01:13.0,:.
2023,B2020083,124,20,30,25,5.74,40.3,01:12.7,01:12.7,:.
2023,B2018058,186,35,31,31,5.33,35.5,01:14.4,01:14.4,01:53.9
2023,B2018059,168,31,30,22,5.23,36.3,01:14.8,01:14.8,01:53.2
2023,B2018060,171,31,36,29,5.5,39.2,01:14.9,01:14.9,01:52.2
2023,B2018061,176,23,33,31,4.89,31.8,01:14.7,01:14.7,01:53.1
2023,B2018062,178,24,31,40,5.16,30.9,01:14.7,01:14.7,01:53.2
2023,B2018063,155,16,21,27,4.39,23.9,01:14.5,01:14.5,01:55.7
2023,B2018064,174,17,33,28,4.84,28.7,01:15.4,01:15.4,01:55.2
2023,B2018065,168,22,29,29,4.96,30.4,01:14.8,01:14.8,01:54.8
2023,B2018066,195,34,26,32,5.03,30.8,01:15.0,01:15.0,01:54.7
2023,B2018067,186,39,27,32,5.46,35.5,01:15.1,01:15.1,01:54.7
2023,B2018068,134,21,30,27,5.63,38.1,01:15.0,01:15.0,01:53.6
2023,B2018069,126,26,26,21,5.94,41.3,01:15.2,01:15.2,01:56.8
2023,B2018070,174,23,35,39,5.21,33.3,01:15.3,01:15.3,01:53.1
2023,B2018071,143,33,26,21,5.73,41.3,01:13.5,01:13.5,01:51.0
2023,B2018072,163,24,21,25,4.71,27.6,01:14.8,01:14.8,01:53.2
2023,B2018073,159,21,24,22,4.65,28.3,01:14.1,01:14.1,01:52.1
2023,B2018074,170,30,28,28,5.14,34.1,01:14.3,01:14.3,01:54.5
2023,B2018075,171,34,33,21,5.43,39.2,01:14.1,01:14.1,01:53.4
2023,B2018076,185,25,27,27,4.66,28.1,01:14.2,01:14.2,01:55.9
2023,B2018077,149,24,13,27,4.54,24.8,01:15.1,01:15.1,01:55.3
2023,B2018078,189,33,42,21,5.3,39.7,01:14.8,01:14.8,01:53.2
2023,B2018079,180,42,27,30,5.5,38.3,01:14.9,01:14.9,01:50.8
2023,B2018080,184,30,36,34,5.34,35.9,01:14.7,01:14.7,01:56.4
2023,B2018081,166,24,30,22,4.9,32.5,01:13.9,01:13.9,01:56.1
2023,B2018082,162,26,36,29,5.44,38.3,01:15.1,01:15.1,01:55.9
2023,B2016095,198,38,28,37,5.34,33.3,01:15.5,01:15.5,01:57.7
2023,B2016096,175,17,27,27,4.5,25.1,01:15.1,01:15.1,01:56.3
2023,B2016097,135,21,22,22,5.02,31.9,01:15.7,01:15.7,01:57.6
2023,B2016099,102,5,8,13,3.57,12.7,01:14.3,01:14.3,01:56.1
2023,B2016100,198,35,43,30,5.44,39.4,01:14.5,01:14.5,02:04.1
2023,B2018083,179,18,32,37,4.82,27.9,01:15.4,01:15.4,01:54.1
2023,B2018088,174,27,28,21,4.95,31.6,01:15.2,01:15.2,01:53.1
2023,B2018089,171,31,30,24,5.32,35.7,01:13.8,01:13.8,01:53.8
2023,B2018090,143,20,21,20,4.69,28.7,01:16.0,01:16.0,01:54.8
2023,B2018091,178,25,30,32,5.08,30.9,01:15.3,01:15.3,01:55.4
2023,B2018099,147,43,17,28,6.07,40.8,01:13.3,01:13.3,01:53.1
2023,B2018100,174,29,27,33,5.18,32.2,01:15.3,01:15.3,01:53.2
2023,B2018101,185,30,36,30,5.35,35.7,01:14.9,01:14.9,01:53.5
2023,B2018102,136,36,26,21,6.21,45.6,01:14.2,01:14.2,01:52.7
2023,B2018103,112,10,24,10,4.46,30.4,01:16.4,01:16.4,01:54.1
2023,B2018104,183,27,29,26,4.98,30.6,01:15.8,01:15.8,01:52.5
2023,B2018105,179,28,33,34,5.45,34.1,01:14.7,01:14.7,01:53.3
2023,B2018106,165,32,40,29,5.88,43.6,01:15.4,01:15.4,01:53.6
2023,B2018107,161,22,24,34,5.06,28.6,01:15.1,01:15.1,01:55.2
2023,B2018108,147,28,19,30,5.41,32,01:14.7,01:14.7,01:53.2
2023,B2018109,185,29,33,27,5.06,33.5,01:14.7,01:14.7,01:54.4
2023,B2016090,173,25,26,26,5.02,29.5,01:15.4,01:15.4,01:58.0
2023,B2016091,171,36,30,28,5.54,38.6,01:15.8,01:15.8,01:57.6
2023,B2016092,197,30,39,34,5.28,35,01:15.4,01:15.4,01:54.5
2023,B2016093,173,23,24,27,4.68,27.2,01:15.7,01:15.7,02:00.5
2023,B2016094,201,31,33,36,5.12,31.8,01:15.4,01:15.4,01:54.8
2023,B2016107,217,53,32,33,5.6,39.2,01:14.6,01:14.6,01:58.4
2023,B2016108,195,25,32,28,4.66,29.2,01:15.9,01:15.9,01:58.2
2023,B2016109,192,31,23,26,4.68,28.1,01:15.5,01:15.5,02:01.6
2023,B2016110,197,38,39,26,5.36,39.1,01:15.7,01:15.7,02:03.1
2023,B2018001,156,32,30,26,5.79,39.7,01:14.1,01:14.1,01:52.4
2023,B2018002,163,32,30,26,5.52,38,01:14.3,01:14.3,01:50.8
2023,B2018003,133,14,18,13,4.08,24.1,01:15.4,01:15.4,01:53.5
2023,B2018004,147,17,25,26,4.86,28.6,01:15.4,01:15.4,01:53.1
2023,B2018005,179,36,34,23,5.32,39.1,01:14.1,01:14.1,01:53.5
2023,B2018006,169,24,31,31,5.17,32.5,01:15.0,01:15.0,01:54.6
2023,B2018007,170,35,31,39,5.95,38.8,01:13.9,01:13.9,01:52.4
2023,B2018008,159,23,19,22,4.71,26.4,01:14.2,01:14.2,01:54.4
2023,B2018009,180,24,27,31,4.88,28.3,01:14.6,01:14.6,01:53.7
2023,B2020011,141,32,25,21,5.7,40.4,01:13.6,01:13.6,:.
2023,B2020012,187,27,39,34,5.43,35.3,01:12.7,01:12.7,:.
2023,B2020013,179,33,28,22,4.99,34.1,01:12.0,01:12.0,:.
2023,B2020014,185,16,29,35,4.66,24.3,01:13.7,01:13.7,:.
2023,B2020015,190,26,30,30,4.89,29.5,01:12.8,01:12.8,:.
2023,B2020016,186,23,39,28,5.02,33.3,01:13.0,01:13.0,:.
2023,B2020017,147,25,22,29,5.37,32,01:12.6,01:12.6,:.
2023,B2020018,155,37,23,29,5.81,38.7,01:12.5,01:12.5,:.
2023,B2016101,175,21,24,33,4.78,25.7,01:15.1,01:15.1,01:58.6
2023,B2016102,209,33,39,34,5.17,34.4,01:15.0,01:15.0,01:56.1
2023,B2016103,219,34,46,34,5.29,36.5,01:15.5,01:15.5,01:59.3
2023,B2020085,156,22,26,26,4.92,30.8,01:12.3,01:12.3,:.
2023,B2020086,113,27,22,21,5.96,43.4,01:11.8,01:11.8,:.
2023,B2018093,170,22,31,29,5.12,31.2,01:15.2,01:15.2,01:55.3
2023,B2018023,162,27,36,28,5.62,38.9,01:14.9,01:14.9,01:54.3
2023,B2018024,151,26,26,25,5.19,34.4,01:14.8,01:14.8,01:53.5
2023,B2018094,183,27,28,32,5.05,30.1,01:14.8,01:14.8,01:53.8
2023,B2018095,175,23,27,28,4.9,28.6,01:14.6,01:14.6,01:53.7
2023,B2018096,168,21,27,27,4.83,28.6,01:14.6,01:14.6,01:55.2
2023,B2018097,158,38,22,22,5.68,38,01:15.1,01:15.1,01:53.2
2023,B2018098,182,23,28,36,4.96,28,01:14.8,01:14.8,01:53.3
2023,B2020038,180,21,36,34,5.08,31.7,01:13.2,01:13.2,:.
2023,B2020039,134,22,29,21,5.28,38.1,01:12.2,01:12.2,:.
2023,B2020040,128,14,19,20,4.38,25.8,01:13.0,01:13.0,:.
2023,B2020019,169,27,28,26,4.92,32.5,01:11.7,01:11.7,:.
2023,B2020020,160,29,23,28,5.13,32.5,01:12.4,01:12.4,:.
2023,B2020021,153,36,27,22,5.58,41.2,01:12.8,01:12.8,:.
2023,B2020022,181,20,29,37,4.88,27.1,01:12.8,01:12.8,:.
2023,B2020023,144,16,15,22,4.26,21.5,01:12.6,01:12.6,:.
2023,B2020024,181,31,32,40,5.35,34.8,01:12.3,01:12.3,:.
2023,B2020025,163,30,23,26,5.01,32.5,01:12.3,01:12.3,:.
2023,B2020026,134,26,28,26,5.6,40.3,01:13.3,01:13.3,:.
2023,B2020027,156,41,31,20,6.06,46.2,01:12.4,01:12.4,:.
2023,B2020028,159,31,29,28,5.41,37.7,01:12.5,01:12.5,:.
2023,B2020029,174,32,25,39,5.37,32.8,01:12.7,01:12.7,:.
2023,B2020030,175,30,35,32,5.41,37.1,01:13.2,01:13.2,:.
2023,B2020031,172,33,28,32,5.41,35.5,01:12.9,01:12.9,:.
2023,B2020032,165,28,32,28,5.32,36.4,01:13.0,01:13.0,:.
2023,B2020033,179,25,21,42,4.89,25.7,01:12.4,01:12.4,:.
2023,B2020034,126,15,13,18,4.21,22.2,01:13.7,01:13.7,:.
2023,B2020035,173,29,29,35,5.21,33.5,01:13.2,01:13.2,:.
2023,B2020036,160,31,23,24,5.26,33.8,01:12.0,01:12.0,:.
2023,B2020037,182,38,34,31,5.58,39.6,01:12.6,01:12.6,:.
2023,B2016010,200,32,34,44,5.4,33,01:15.4,01:15.4,01:55.0
2023,B2016011,217,39,33,38,5.29,33.2,01:15.7,01:15.7,02:01.0
2023,B2016012,149,21,27,23,5.01,32.2,01:15.0,01:15.0,01:55.3
2023,B2016013,192,23,34,25,4.76,29.7,01:14.8,01:14.8,01:59.7
2023,B2016014,158,13,31,24,4.55,27.8,01:15.0,01:15.0,01:56.6
2023,B2016015,201,32,37,38,5.33,34.3,01:15.6,01:15.6,01:57.3
