OPER_INSTT_NM,BASE_YEAR,TME_VALUE,DAY_ORD_VALUE,RACE_DE,PRACE_NO,DANSEONG_VALUE,YNGSEONG_ONE_VALUE,YNGSEONG_TWO_VALUE,SSANGSEONG_VALUE,BOKSEONG_VALUE,SAMBOKSEONG_VALUE,SAMSSANGSEONG_DVDN_RT,SSANBOKSEONG_DVDN_RT
경륜,2010,1,1,20100108,1,1.2,1.2,1,2.2,1.7,4.6,,
경정,2010,1,1,20100303,1,20.6,3.8,1,42.2,8,3.8,,
경륜,2010,1,1,20100108,2,1.4,1,1.7,3.4,2.1,5,,
경정,2010,1,1,20100303,2,5.9,1.7,1.9,11.5,5.9,3.8,,
경륜,2010,1,1,20100108,3,1.3,1.4,8.8,10.7,8.6,8.1,,
경정,2010,1,1,20100303,3,2.1,1.3,6.9,18.9,14,9.9,,
경륜,2010,1,1,20100108,4,4,2.3,4.8,33.5,23.6,9.5,,
경정,2010,1,1,20100303,4,2.1,1.3,8.6,34.1,27.9,21.6,,
경륜,2010,1,1,20100108,5,1.6,1.1,6,7.8,7.5,5,,
경정,2010,1,1,20100303,5,2.5,1.8,2.4,9.2,6.8,8.7,,
경륜,2010,1,1,20100108,6,2.9,1.5,1,4.7,2.3,2.2,,
경정,2010,1,1,20100303,6,9,2.3,1.3,18.8,4.5,15.9,,
경륜,2010,1,1,20100108,7,3.1,1.1,2.1,4.9,2.7,2.3,,
경정,2010,1,1,20100303,7,3.3,1.6,3.6,20.4,14.2,30.4,,
경륜,2010,1,1,20100108,8,1.3,1.3,3.5,5,4.6,3.2,,
경륜,2010,1,1,20100108,9,1.8,1.1,8.5,11.3,10.2,4.2,,
경륜,2010,1,1,20100108,10,8.5,2.8,2.3,41.4,19.2,6.6,,
경륜,2010,1,1,20100108,11,1.2,1.1,2.1,2.8,2.3,2.9,,
경륜,2010,1,1,20100108,12,22.2,5.9,1.2,76.1,16.6,33,,
경륜,2010,1,1,20100108,13,1.6,1.1,1.1,2.4,1.3,1.7,,
경륜,2010,1,1,20100108,14,1.1,1.1,1.3,1.7,1.5,1.9,,
경륜,2010,1,2,20100109,1,1.3,1.1,3,4.2,3.7,11.3,,
경정,2010,1,2,20100304,1,6.1,2.5,1.2,11.4,4.6,4,,
경륜,2010,1,2,20100109,2,3.6,1.6,2.1,8.4,3.7,2.6,,
경정,2010,1,2,20100304,2,1.1,1,5.6,9,7.5,7.5,,
경륜,2010,1,2,20100109,3,9.2,4.5,2.1,53.3,20.8,92.5,,
경정,2010,1,2,20100304,3,12.6,5.3,1.2,43.8,12.4,17.2,,
경륜,2010,1,2,20100109,4,2.6,1.7,1.2,5.7,1.7,23.5,,
경정,2010,1,2,20100304,4,2.6,1.5,1.6,5.7,2.5,4.4,,
경륜,2010,1,2,20100109,5,1.3,1,5,25.8,23.3,11.7,,
경정,2010,1,2,20100304,5,2.3,1.6,3.7,17.2,11.8,11.2,,
경륜,2010,1,2,20100109,6,1.6,1.2,4.3,13.4,10.4,105.8,,
경정,2010,1,2,20100304,6,1.5,1.1,2.2,5.1,3.6,3,,
경륜,2010,1,2,20100109,7,2.9,1.1,1.4,4.5,1.7,2,,
경정,2010,1,2,20100304,7,1.8,1.5,1.7,4.9,2.8,4.5,,
경륜,2010,1,2,20100109,8,1.2,1.1,2.3,4.5,3.9,7.5,,
경륜,2010,1,2,20100109,9,1.1,1.1,3.6,4.3,4,21.3,,
경륜,2010,1,2,20100109,10,1.5,1.1,3,2.8,2.1,6.9,,
경륜,2010,1,2,20100109,11,2.4,1.4,1.7,4,2,7.2,,
경륜,2010,1,2,20100109,12,3.4,1.5,1,16.2,12.1,6.7,,
경륜,2010,1,2,20100109,13,1.2,1,1.5,2.1,1.6,4.1,,
경륜,2010,1,2,20100109,14,1,1,2.1,2.5,2.3,6.1,,
경륜,2010,1,3,20100110,1,2.8,1.1,2.6,7.9,3.6,26,,
경륜,2010,1,3,20100110,2,1.2,1,2.1,2.4,1.8,5,,
경륜,2010,1,3,20100110,3,2.1,1.4,1.4,4.7,2,3.3,,
경륜,2010,1,3,20100110,4,11,2.5,1.9,26.3,9,4.2,,
경륜,2010,1,3,20100110,5,4.4,1.8,1.3,9.4,4.1,3,,
경륜,2010,1,3,20100110,6,1.7,1.6,1.4,3.8,2.3,3.7,,
경륜,2010,1,3,20100110,7,1.2,1,2.4,3.4,3,4.3,,
경륜,2010,1,3,20100110,8,2.5,1.6,4.1,20.9,15,4.9,,
경륜,2010,1,3,20100110,9,8,1.9,1.1,7.3,2,2.1,,
경륜,2010,1,3,20100110,10,6.8,2.7,1.2,18.4,3.5,22.3,,
경륜,2010,1,3,20100110,11,7.5,3.2,1,15.2,4.8,2.9,,
경륜,2010,1,3,20100110,12,1.7,1,2.1,3.8,2.9,27.8,,
경륜,2010,1,3,20100110,13,7.2,2.8,1.2,10.4,2,2.8,,
경륜,2010,1,3,20100110,14,1.1,1,2.3,3.9,3.4,5.7,,
경륜,2010,2,1,20100115,1,1.7,1.1,5.1,6.9,6.2,12.3,,
경륜,2010,2,1,20100115,2,1,1.1,3,4.5,3.6,14.3,,
경륜,2010,2,1,20100115,3,1.7,1,1.8,3.3,1.7,4.8,,
경륜,2010,2,1,20100115,4,1.9,1.1,3,7.5,5.3,2.5,,
경륜,2010,2,1,20100115,5,1.5,1.4,3.8,5.5,4.6,83.6,,
경륜,2010,2,1,20100115,6,53.8,6.5,1.4,133,36.8,11.4,,
경륜,2010,2,1,20100115,7,1,1,2.2,2.8,2.6,13.9,,
경륜,2010,2,1,20100115,8,1.8,1.2,2.4,5.9,4.1,1.8,,
경륜,2010,2,1,20100115,9,3,1.5,1.3,5.2,1.8,6.5,,
경륜,2010,2,1,20100115,10,1.4,1,1.7,1.9,1.5,5.4,,
경륜,2010,2,1,20100115,11,1,1,11.3,14.3,13.4,21.7,,
경륜,2010,2,1,20100115,12,1.1,1.1,1.1,1.9,1.3,1.7,,
경륜,2010,2,1,20100115,13,1,1,1.7,1.8,1.7,9.9,,
경륜,2010,2,1,20100115,14,1,1,2.3,2.1,1.8,5.1,,
경륜,2010,2,2,20100116,1,1.3,1.1,8.8,10.1,7.3,14.9,,
경정,2010,2,2,20100311,1,13.8,5.1,2.1,54.4,20.5,6,,
경륜,2010,2,2,20100116,2,5.3,1.9,1,8.3,2,9.5,,
경정,2010,2,2,20100311,2,24.7,9.5,2.2,112.3,37.6,71.6,,
경륜,2010,2,2,20100116,3,1.5,1.1,1.1,2.7,1.6,3.6,,
경정,2010,2,2,20100311,3,2.6,1.5,2.1,8,4,9.3,,
경륜,2010,2,2,20100116,4,3.1,1.5,1.3,6.7,2.8,2.3,,
경정,2010,2,2,20100311,4,5.4,1.5,5.2,33.9,25.1,48.9,,
경륜,2010,2,2,20100116,5,1.1,1.1,2.2,3.2,3,23.2,,
경정,2010,2,2,20100311,5,6.3,2.2,2.2,24.7,12,11.7,,
경륜,2010,2,2,20100116,6,2.1,1.5,2.7,6.2,5.1,15.2,,
경정,2010,2,2,20100311,6,1.5,1.2,1.9,3.7,2.7,7.7,,
경륜,2010,2,2,20100116,7,1.4,1,3.1,3.9,3.4,2.2,,
경정,2010,2,2,20100311,7,21.7,5.5,3.5,88.1,39.5,32.3,,
경륜,2010,2,2,20100116,8,2,1.2,1.5,3.2,1.6,4.8,,
경륜,2010,2,2,20100116,9,1.2,1.1,6.2,10,9.9,32.9,,
경륜,2010,2,2,20100116,10,1.1,1,2.2,2.5,2.3,7.7,,
경륜,2010,2,2,20100116,11,1.4,1.1,2.6,3.9,2.8,1.8,,
경륜,2010,2,2,20100116,12,1.1,1.1,1.2,1.9,1.6,2.1,,
경륜,2010,2,2,20100116,13,1.1,1,3,3.5,3.5,2.1,,
경륜,2010,2,2,20100116,14,1.2,1,1.8,1.7,1.4,1.7,,
경륜,2010,2,3,20100117,1,1.3,1.2,2,3.5,3,16.7,,
경륜,2010,2,3,20100117,2,12.4,4.7,5.1,179.3,81.8,67.9,,
경륜,2010,2,3,20100117,3,2,1,2.2,9.8,6.4,2.7,,
경륜,2010,2,3,20100117,4,33.6,21.9,1.3,117.2,28.7,43.8,,
경륜,2010,2,3,20100117,5,1.2,1.2,2.9,3.8,3.7,4.8,,
경륜,2010,2,3,20100117,6,2.9,1.4,1.5,5.4,2.3,4.1,,
경륜,2010,2,3,20100117,7,53.1,13.2,2.1,172.6,56.2,191.8,,
경륜,2010,2,3,20100117,8,1.3,1.3,2,2.5,1.8,4.8,,
경륜,2010,2,3,20100117,9,14.9,1.6,4.8,107.5,92.6,6.2,,
경륜,2010,2,3,20100117,10,1.2,1,6,4.5,4.1,5.8,,
경륜,2010,2,3,20100117,11,2.2,1.1,1.9,4.6,1.9,3.7,,
경륜,2010,2,3,20100117,12,1.3,1.4,9.9,9.2,9.1,3.5,,
경륜,2010,2,3,20100117,13,6.6,2,1,6.8,1.8,2.8,,
경륜,2010,2,3,20100117,14,2.4,1.3,3.7,12.7,9.2,3,,
경륜,2010,3,1,20100122,1,1.3,1,2.9,4.6,3.4,3.6,,
경정,2010,3,1,20100317,1,1.7,1.3,4.8,11.7,8,4.2,,
경륜,2010,3,1,20100122,2,3.2,1.4,1.4,7.6,3.9,2,,
경정,2010,3,1,20100317,2,2.2,1.3,2.5,7.2,4.8,4.1,,
경륜,2010,3,1,20100122,3,12.2,4.3,1.3,36.7,8.2,5.3,,
경정,2010,3,1,20100317,3,2.2,1.3,1.6,5.6,4,4.3,,
경륜,2010,3,1,20100122,4,1.1,1,2,2.4,2.2,8.3,,
경정,2010,3,1,20100317,4,2.3,1.3,1.3,4.6,2.1,4.3,,
경륜,2010,3,1,20100122,5,1.2,1.1,1.8,3.5,2.7,15.2,,
경정,2010,3,1,20100317,5,16.3,4.1,3.1,64.1,21.1,57.9,,
경륜,2010,3,1,20100122,6,5.2,2.5,1.7,28,16.4,3.9,,
경정,2010,3,1,20100317,6,4.7,1.8,1.3,6.9,2.7,2.9,,
경륜,2010,3,1,20100122,7,1.3,1.2,1.7,1.9,1.4,4.2,,
경정,2010,3,1,20100317,7,2,1.9,1.5,9.3,3.8,11.6,,
경륜,2010,3,1,20100122,8,1.3,1,1.3,1.9,1.5,5.5,,
경정,2010,3,1,20100317,8,2,1.5,7.6,30.8,23.6,22.1,,
경륜,2010,3,1,20100122,9,2,1.1,1.1,3.2,1.6,2,,
경정,2010,3,1,20100317,9,2.9,1.2,1.2,4.4,1.5,4.8,,
경륜,2010,3,1,20100122,10,1.1,1,3.1,4.5,3.6,3.7,,
경정,2010,3,1,20100317,10,1.5,1.1,2.7,6.5,5.3,8.7,,
경륜,2010,3,1,20100122,11,1,1,3.6,4.3,4,7.6,,
경정,2010,3,1,20100317,11,2.4,1.3,1.5,4.8,2.7,4,,
경륜,2010,3,1,20100122,12,2.6,1.1,1,3,1.4,19.2,,
경정,2010,3,1,20100317,12,1.4,1.1,3.3,4.1,3.5,11.3,,
경륜,2010,3,1,20100122,13,1.2,1.2,3.4,3.8,3.4,4.4,,
경정,2010,3,1,20100317,13,2,1.1,1.9,4.2,2.7,2.5,,
경륜,2010,3,1,20100122,14,1,1.1,2.2,2.9,2.9,5.3,,
경정,2010,3,1,20100317,14,1.3,1,3.2,6.5,5.8,3.9,,
경정,2010,3,1,20100317,15,1.2,1,4.3,6.1,5.2,6.3,,
경륜,2010,3,2,20100123,1,4.2,1.5,1.1,5.5,1.9,4.1,,
경정,2010,3,2,20100318,1,6.8,2.1,1.7,24.2,12.2,39.6,,
경륜,2010,3,2,20100123,2,1.6,1.2,3.5,8.4,7,51,,
경정,2010,3,2,20100318,2,4,1.7,1.3,11.1,5,2.2,,
경륜,2010,3,2,20100123,3,8,1.4,2.3,57.3,20.8,3.7,,
경정,2010,3,2,20100318,3,7,2.2,3,21.5,11.9,5.7,,
경륜,2010,3,2,20100123,4,2.8,1.1,1.3,4.1,1.6,2.2,,
경정,2010,3,2,20100318,4,1.9,1.3,2.3,7.9,5.9,23.2,,
경륜,2010,3,2,20100123,5,1.5,1.3,2.4,4,3.2,2.3,,
경정,2010,3,2,20100318,5,10.2,4.9,4.7,116.6,53.8,14.9,,
경륜,2010,3,2,20100123,6,10,2.5,2,40.4,17.1,94,,
경정,2010,3,2,20100318,6,1.5,1.3,1.5,3.4,2.2,12.3,,
경륜,2010,3,2,20100123,7,1.7,1,1.5,3.6,2.3,1.7,,
경정,2010,3,2,20100318,7,5.8,1.7,2,14.6,5.8,4.7,,
경륜,2010,3,2,20100123,8,1.2,1.3,1.4,2.8,2.1,6.9,,
경정,2010,3,2,20100318,8,1.6,1,4.4,18.2,15,13.8,,
경륜,2010,3,2,20100123,9,7.8,2.2,1.4,13.1,5.4,26.9,,
경정,2010,3,2,20100318,9,19.3,3,1.5,41.6,9.5,6.4,,
경륜,2010,3,2,20100123,10,1.2,1,2.4,2.9,2.7,22,,
경정,2010,3,2,20100318,10,8.5,2.4,1.5,53.9,25.4,2.9,,
경륜,2010,3,2,20100123,11,1.1,1,12.8,18.1,16.9,31.2,,
경정,2010,3,2,20100318,11,3.9,2.4,1.5,11.8,5.1,6.1,,
경륜,2010,3,2,20100123,12,5.6,2.1,1.2,12.3,3.9,4.8,,
경정,2010,3,2,20100318,12,3.8,2,2.4,12.3,7.3,14.1,,
경륜,2010,3,2,20100123,13,1.1,1,5.8,7.6,7.4,10.5,,
경정,2010,3,2,20100318,13,1.5,1.2,2.2,4.7,3.4,6.6,,
경륜,2010,3,2,20100123,14,1.1,1,3.9,4.3,4,2.5,,
경정,2010,3,2,20100318,14,5.7,1.9,2.7,30.4,11.4,81,,
경정,2010,3,2,20100318,15,17.1,7.1,4.4,218.3,89.8,81,,
경륜,2010,3,3,20100124,1,1.2,1,3.5,5,3.7,5.3,,
경륜,2010,3,3,20100124,2,1.2,1.1,1.4,2,1.6,8.7,,
경륜,2010,3,3,20100124,3,26.8,8.5,2.9,211.4,91,49.4,,
경륜,2010,3,3,20100124,4,1.7,1.3,2.2,3.9,2.7,3.4,,
경륜,2010,3,3,20100124,5,4.9,2.4,2.1,20.7,9.3,3.4,,
경륜,2010,3,3,20100124,6,1.7,1.1,4.3,8.9,7.3,5,,
경륜,2010,3,3,20100124,7,1.3,1,8.6,9.4,8.7,5.9,,
경륜,2010,3,3,20100124,8,3.3,2.2,1.8,11.9,5,14.6,,
경륜,2010,3,3,20100124,9,1.4,1.4,1.3,3,2.2,4.8,,
경륜,2010,3,3,20100124,10,1.9,1.3,1.6,3.9,2.9,2.4,,
경륜,2010,3,3,20100124,11,1.6,1.2,1.9,3.3,2.4,10.8,,
경륜,2010,3,3,20100124,12,2,1.3,4.9,10.8,8.2,3.1,,
경륜,2010,3,3,20100124,13,1.2,1,4.4,6,5.2,6.8,,
경륜,2010,3,3,20100124,14,9.5,2.5,2.8,58.9,28.8,7.6,,
경륜,2010,4,1,20100129,1,3.7,2.2,11.8,49.3,33.7,82.7,,
경정,2010,4,1,20100324,1,3.7,1.4,1.1,4.6,1.7,7.5,,
경륜,2010,4,1,20100129,2,3.1,1.7,1.2,7,4,1.9,,
경정,2010,4,1,20100324,2,2.4,1.1,1.4,4.8,2.4,3.3,,
경륜,2010,4,1,20100129,3,1.8,1.4,2.6,4.9,4.1,2.9,,
경정,2010,4,1,20100324,3,2.2,1.8,2.4,12.2,6.9,4.2,,
경륜,2010,4,1,20100129,4,1.6,1,1.3,2.8,1.7,4.7,,
경정,2010,4,1,20100324,4,4.3,2,2.1,15,7.4,6.6,,
경륜,2010,4,1,20100129,5,12.9,6.3,1.7,80,26.2,79.3,,
경정,2010,4,1,20100324,5,1.6,1,2.5,4.8,4.2,14.3,,
경륜,2010,4,1,20100129,6,1.1,1.1,1.5,1.9,1.8,2,,
경정,2010,4,1,20100324,6,3.3,1.4,1.6,8.1,3.6,7.2,,
경륜,2010,4,1,20100129,7,1.5,1.2,3,4.1,3.4,1.8,,
경정,2010,4,1,20100324,7,1.6,1.1,2.2,5.2,3.8,6.7,,
경륜,2010,4,1,20100129,8,9.7,2.1,1.1,15.3,2.3,4.1,,
경정,2010,4,1,20100324,8,1.7,1.1,3,9,7.8,4.5,,
경륜,2010,4,1,20100129,9,1.8,1.1,1.5,3.5,2.6,2.2,,
경정,2010,4,1,20100324,9,2.1,1.6,1.9,6.3,5,8.2,,
경륜,2010,4,1,20100129,10,1.3,1,1.8,3.3,2.6,11.9,,
경정,2010,4,1,20100324,10,6.6,2.2,1.2,11.7,3.2,4.6,,
경륜,2010,4,1,20100129,11,1.8,1,24.8,41.1,41.2,12.3,,
경정,2010,4,1,20100324,11,2.7,2.1,2.4,10.4,5.4,4.6,,
경륜,2010,4,1,20100129,12,1.5,1,1.9,2.5,2.1,2.5,,
경정,2010,4,1,20100324,12,1.2,1,2.5,2.9,2.6,4,,
경륜,2010,4,1,20100129,13,1.2,1,1.3,1.8,1.5,4.1,,
경정,2010,4,1,20100324,13,12.6,2.6,1.1,15.7,3,5.4,,
경륜,2010,4,1,20100129,14,1,1.1,1.8,1.5,1.5,7,,
경정,2010,4,1,20100324,14,1.3,1,1.9,3.1,2,4.9,,
경정,2010,4,1,20100324,15,2.5,1.3,2.4,6.7,4.2,9.3,,
경륜,2010,4,2,20100130,1,1.8,1.5,1.2,2.9,1.6,11.8,,
경정,2010,4,2,20100325,1,1.1,1,1.7,2.1,1.8,6.5,,
경륜,2010,4,2,20100130,2,12.2,3.6,1.4,27.8,8.5,11,,
경정,2010,4,2,20100325,2,1.9,1.3,7.5,12.1,9.9,11.7,,
경륜,2010,4,2,20100130,3,5.4,3.2,2.1,18.7,6.8,7.9,,
경정,2010,4,2,20100325,3,1.2,1,1.5,2.3,1.8,2.9,,
경륜,2010,4,2,20100130,4,3.6,1.8,9.2,42.7,30.9,215,,
경정,2010,4,2,20100325,4,1.8,1.5,4.8,13.5,8.2,8.2,,
경륜,2010,4,2,20100130,5,1.3,1,2.1,3.7,3.2,29.1,,
경정,2010,4,2,20100325,5,2.5,1.3,3.5,16.4,11,48.6,,
경륜,2010,4,2,20100130,6,1.2,1,3.4,5.2,4.2,4.6,,
경정,2010,4,2,20100325,6,1.5,1.2,1.3,2.6,1.7,2.6,,
경륜,2010,4,2,20100130,7,1.2,1.4,1,1.9,1.6,4.8,,
경정,2010,4,2,20100325,7,2.4,1.3,1.8,6.1,4.4,6.7,,
경륜,2010,4,2,20100130,8,2.1,1.5,6.4,25,17.4,12.6,,
경정,2010,4,2,20100325,8,1.5,1.2,2.1,5.5,3.8,7.8,,
경륜,2010,4,2,20100130,9,1.1,1,3.4,3.7,2.9,22,,
경정,2010,4,2,20100325,9,5.8,2.3,1.3,17.2,9.2,30.6,,
경륜,2010,4,2,20100130,10,1.2,1.2,11.4,26.7,22.6,27,,
경정,2010,4,2,20100325,10,3.8,1.7,2,9.9,5.7,3.2,,
경륜,2010,4,2,20100130,11,1.6,1.2,1.1,2.5,1.4,3.2,,
경정,2010,4,2,20100325,11,17.6,4.1,1,27.3,4.8,1.9,,
경륜,2010,4,2,20100130,12,1.3,1.3,4.6,8.7,8.3,3.5,,
경정,2010,4,2,20100325,12,9.5,2.7,2.4,40.6,19.6,33.8,,
경륜,2010,4,2,20100130,13,1,1,5.7,3.7,3.6,3,,
경정,2010,4,2,20100325,13,1.8,1.8,9.6,22,18.7,20.5,,
경륜,2010,4,2,20100130,14,1,1,2,2.1,2,5.4,,
경정,2010,4,2,20100325,14,16.8,6.6,1.7,44.7,13.9,6.9,,
경정,2010,4,2,20100325,15,1.7,1.3,1.6,4,2.8,5.3,,
경륜,2010,4,3,20100131,1,7.9,2.8,1.8,19.7,8.6,16.3,,
경륜,2010,4,3,20100131,2,7.4,3,1.2,22,5,10.6,,
경륜,2010,4,3,20100131,3,4.1,1.5,10.6,51.7,42.1,16.6,,
경륜,2010,4,3,20100131,4,1.3,1,2.3,4.6,3.8,3.9,,
경륜,2010,4,3,20100131,5,1.2,1,5,16.7,14.5,19.3,,
경륜,2010,4,3,20100131,6,1.2,1,2.8,4.8,4,6,,
경륜,2010,4,3,20100131,7,4.1,1.8,1.6,6.7,3.8,24.8,,
경륜,2010,4,3,20100131,8,9.4,4.4,1,21,3.4,5.6,,
경륜,2010,4,3,20100131,9,26.6,2.9,2.1,50,17.5,132.9,,
경륜,2010,4,3,20100131,10,3.8,1.2,1.2,5.2,2.1,3.4,,
경륜,2010,4,3,20100131,11,1.9,1.3,2.1,5.5,3,2.6,,
경륜,2010,4,3,20100131,12,3.7,1.5,1.3,7.6,3,3.8,,
경륜,2010,4,3,20100131,13,1.2,1.1,3.7,5.6,5.1,6.1,,
경륜,2010,4,3,20100131,14,1.9,1.1,1.6,3.1,1.8,2.4,,
경륜,2010,5,1,20100205,1,8.5,2.2,14.8,105.2,81.5,140.1,,
경정,2010,5,1,20100331,1,3.9,1.7,2.2,16.1,7.7,23.2,,
경륜,2010,5,1,20100205,2,2.6,1.4,1.2,4.9,2,2.7,,
경정,2010,5,1,20100331,2,1.5,1.3,3,7.1,5.6,2.2,,
경륜,2010,5,1,20100205,3,1.4,1.1,7,19.9,17.1,11.4,,
경정,2010,5,1,20100331,3,1.8,1.3,3.8,8.4,7,6.3,,
경륜,2010,5,1,20100205,4,9.7,3.3,2.5,61.3,23.4,96.7,,
경정,2010,5,1,20100331,4,1.9,1.3,1.3,4.7,2.5,4,,
경륜,2010,5,1,20100205,5,1.2,1,15.2,13.3,12.6,14.4,,
경정,2010,5,1,20100331,5,4,1.9,1.8,11.8,6.7,5.3,,
경륜,2010,5,1,20100205,6,1.2,1,4.9,7.6,6.5,29,,
경정,2010,5,1,20100331,6,4.9,1.9,1.5,11.9,4.7,11,,
경륜,2010,5,1,20100205,7,4.1,2.2,1.3,6.9,2.6,3.6,,
경정,2010,5,1,20100331,7,3,1.4,4.1,17.1,12.1,83.9,,
경륜,2010,5,1,20100205,8,1.1,1,7.1,6.5,6.9,7.9,,
경정,2010,5,1,20100331,8,3.4,1.4,10.8,44.8,30.9,35.6,,
경륜,2010,5,1,20100205,9,1.1,1.1,2.1,3.4,2.6,37.2,,
경정,2010,5,1,20100331,9,5.6,3.5,2.5,25.4,11.6,23.6,,
경륜,2010,5,1,20100205,10,2.9,1.2,1.3,4.5,1.5,7.6,,
경정,2010,5,1,20100331,10,3.9,1.7,1.3,7.4,2.9,2.7,,
경륜,2010,5,1,20100205,11,16.1,6.8,2,163.8,83.2,7.6,,
경정,2010,5,1,20100331,11,4.5,1.5,1.3,7.2,3,9.6,,
경륜,2010,5,1,20100205,12,1.2,1,1.3,1.8,1.4,1.7,,
경정,2010,5,1,20100331,12,1.7,1.4,3.1,8.7,7.3,6.7,,
경륜,2010,5,1,20100205,13,7.3,2.1,6.1,135.3,96.1,14.5,,
경정,2010,5,1,20100331,13,3.2,1.6,2.8,12.4,6.6,2.7,,
경륜,2010,5,1,20100205,14,1,1.1,1.8,1.6,1.7,3.9,,
경정,2010,5,1,20100331,14,8.4,2.5,4.5,56.9,31.8,36,,
경정,2010,5,1,20100331,15,4.6,1.5,1.7,14.9,6.7,13.2,,
경륜,2010,5,2,20100206,1,1.3,1.3,2.1,5.3,3.1,14.5,,
경정,2010,5,2,20100401,1,2.8,1.7,1.9,6.4,3.1,2,,
경륜,2010,5,2,20100206,2,25.9,3.5,1.1,23.5,6.1,4.9,,
경정,2010,5,2,20100401,2,1.6,1.2,2.3,5,3.6,9.3,,
경륜,2010,5,2,20100206,3,1.5,1.1,1.2,2.8,1.5,5.1,,
경정,2010,5,2,20100401,3,2.5,1.6,1.8,5.9,2.7,9.6,,
경륜,2010,5,2,20100206,4,1.1,1,1.6,2,1.8,4.1,,
경정,2010,5,2,20100401,4,2,1.5,7.2,23.8,22.1,9.1,,
경륜,2010,5,2,20100206,5,2.6,1.3,6.4,22.4,15.5,6.9,,
경정,2010,5,2,20100401,5,1.6,1.2,1.5,3.4,2.2,4,,
경륜,2010,5,2,20100206,6,1.3,1.1,4.2,5.6,5.2,5.2,,
경정,2010,5,2,20100401,6,7.8,2.2,2.7,20,8.6,18.1,,
경륜,2010,5,2,20100206,7,18.2,7.1,20.5,193.5,84.4,234,,
경정,2010,5,2,20100401,7,2.5,1.9,2.2,9.9,6.7,14,,
경륜,2010,5,2,20100206,8,1.4,1.1,1.3,2.2,1.6,2.4,,
경정,2010,5,2,20100401,8,1.6,1.3,1.4,4.6,3,3,,
경륜,2010,5,2,20100206,9,1.1,1,2.8,3.4,2.6,4,,
경정,2010,5,2,20100401,9,1.4,1.1,1.8,3.2,2.4,6.5,,
경륜,2010,5,2,20100206,10,1.1,1,3.5,7.8,7,28.4,,
경정,2010,5,2,20100401,10,3.4,2.8,1.2,11.2,5,6.7,,
경륜,2010,5,2,20100206,11,8.4,2.1,1.8,20.5,12.6,3,,
경정,2010,5,2,20100401,11,5.8,2.2,1.6,12.7,6.7,16.8,,
경륜,2010,5,2,20100206,12,1.4,1.4,1.1,2.3,1.5,1.6,,
경정,2010,5,2,20100401,12,1.6,1.1,1.4,3.2,2,4.7,,
경륜,2010,5,2,20100206,13,1.2,1.1,1,1.5,1.2,2.1,,
경정,2010,5,2,20100401,13,1,1,2.1,1.9,1.6,3.7,,
경륜,2010,5,2,20100206,14,1,1,2,2.2,2.1,3.3,,
경정,2010,5,2,20100401,14,7,2.2,1.3,20.7,7.5,1.9,,
경정,2010,5,2,20100401,15,10.3,3.1,1,15.5,3.9,4,,
경륜,2010,5,3,20100207,1,2.3,1.4,4.6,23.7,15,8.2,,
경륜,2010,5,3,20100207,2,12.8,5.2,1.9,25.2,13.6,8.1,,
경륜,2010,5,3,20100207,3,1.4,1.2,2.2,4.7,3.3,5.4,,
경륜,2010,5,3,20100207,4,16.5,5.8,1.2,41,10.8,15.4,,
경륜,2010,5,3,20100207,5,1.1,1.1,1.4,2.2,1.8,4.1,,
경륜,2010,5,3,20100207,6,5.3,3.7,4.3,58.6,37.1,63.6,,
경륜,2010,5,3,20100207,7,2,1.2,7.4,19.3,18,76.3,,
경륜,2010,5,3,20100207,8,1.2,1,3.4,4.1,3.1,6.8,,
경륜,2010,5,3,20100207,9,20.2,6.8,1.2,43.5,11.9,20,,
경륜,2010,5,3,20100207,10,8.6,1.5,1.4,10,2.5,11,,
경륜,2010,5,3,20100207,11,9.2,2,6.7,46.5,26.1,88.9,,
경륜,2010,5,3,20100207,12,3.3,1.5,2,8.5,5,9,,
경륜,2010,5,3,20100207,13,1.3,1,4.1,4.2,3.6,7.1,,
경륜,2010,5,3,20100207,14,1.2,1.1,4,4.6,4.2,7,,
경륜,2010,6,1,20100219,1,1.4,1.1,2.5,4.3,3.7,26.1,,
경정,2010,6,1,20100407,1,2,1.5,2.7,9.7,6.6,28.4,,
경륜,2010,6,1,20100219,2,1.3,1.1,1.3,2.1,1.4,12.6,,
경정,2010,6,1,20100407,2,5.6,2.4,1.2,13.9,5.9,21.3,,
경륜,2010,6,1,20100219,3,3.4,1.8,7.5,32.9,21.7,9.7,,
경정,2010,6,1,20100407,3,2,1.7,2.5,10.6,8.7,47.9,,
경륜,2010,6,1,20100219,4,1.1,1,9,10.5,11.3,9.5,,
경정,2010,6,1,20100407,4,5.5,2,5.8,33.5,16.9,6.7,,
경륜,2010,6,1,20100219,5,1.1,1,1.5,1.8,1.7,2.9,,
경정,2010,6,1,20100407,5,2.4,1.7,3.5,8.8,6.6,6.5,,
경륜,2010,6,1,20100219,6,22.4,2.3,3.2,98.2,36.6,90.8,,
경정,2010,6,1,20100407,6,4.6,2.4,7,22.6,15.9,61,,
경륜,2010,6,1,20100219,7,1.4,1.4,1.2,3.4,2,5.9,,
경정,2010,6,1,20100407,7,7.1,2.3,1.1,14.6,5.4,11.1,,
경륜,2010,6,1,20100219,8,5.8,2.4,1,9.2,1.9,3,,
