RACE_YEAR,TME_VALUE,DAY_ORD_VALUE,RACE_NO,N1R_PLAYER_NM,N2R_PLAYER_NM,N3R_PLAYER_NM,DANSEONG_VALUE,YNGSEONG_ONE_VALUE,YNGSEONG_TWO_VALUE,SSANGSEONG_VALUE,BOKSEONG_VALUE,SAMBOKSEONG_VALUE,SAMSSANGSEONG_DVDN_RT,SSANBOKSEONG_DVDN_RT
2022,32,2,13,①이진우,②한종석,③원용관,①1.4,①1.2,②1.5,①-②3.1,①-②2,①-②-③2.5,①-②-③7,①-②4.3
2022,32,2,14,①이용세,②어선규,④안지민,①2.5,①1.5,②1.4,①-②4.7,①-②3.2,①-②-④9.5,①-②-④17.3,①-②12.4
2022,32,2,15,③김완석,④김현철,②김응선,③2.7,③1.5,④3.6,③-④12.7,③-④11.8,③-④-②9.4,③-④-②44.9,③-④20.9
2022,32,2,16,③김경일,⑤박진서,④김지현,③1.3,③1.1,⑤3.5,③-⑤5.6,③-⑤6.4,③-⑤-④3.1,③-⑤-④14.6,③-⑤3.4
2022,32,2,17,①주은석,②김명진,⑥최광성,①1.1,①1.1,②3.5,①-②4,①-②4.3,①-②-⑥10.1,①-②-⑥22.7,①-②10.2
2022,33,1,1,④김효년,②곽현성,⑥박준호,④2.5,④1.6,②1.5,④-②4.9,④-②2.6,④-②-⑥15.8,④-②-⑥39.1,④-②33.5
2022,33,1,2,①신동길,④이지수,⑥이  인,①5.3,①2.2,④1.7,①-④17.6,①-④9.3,①-④-⑥21.4,①-④-⑥108,①-④60.3
2022,33,1,3,②서  휘,③송효석,⑤황이태,②2.9,②1.4,③2.3,②-③7.9,②-③5.3,②-③-⑤3.7,②-③-⑤14.8,②-③7.7
2022,33,1,4,⑤조규태,④정민수,②전두식,⑤8.6,⑤3,④4.7,⑤-④52.3,⑤-④25.4,⑤-④-②23.4,⑤-④-②298,⑤-④146.8
2022,33,1,5,②정인교,③김선웅,①이지은,②10.9,②5.4,③2.5,②-③78.6,②-③25.1,②-③-①19.6,②-③-①319.4,②-③145.7
2022,33,1,6,②김태규,⑤김도휘,③김민천,②3.3,②1.8,⑤3.9,②-⑤19.7,②-⑤16.9,②-⑤-③5.8,②-⑤-③69.2,②-⑤13.7
2022,33,1,7,①우진수,③박원규,④손지영,①2.5,①1.4,③2,①-③7.4,①-③3.9,①-③-④6,①-③-④18.9,①-③12
2022,33,1,8,①최재원,⑤김민길,②정용진,①2,①1,⑤1.7,①-⑤3.7,①-⑤2.1,①-⑤-②4.4,①-⑤-②10.1,①-⑤6.3
2022,33,1,9,④나종호,③박진서,⑥곽현성,④8.1,④3,③1.1,④-③13.7,④-③4.6,④-③-⑥11.7,④-③-⑥69.3,④-③58
2022,33,1,10,④김민준,①정훈민,③이  인,④1.8,④1.2,①2,④-①4.5,④-①3.2,④-①-③5.2,④-①-③14.7,④-①9
2022,33,1,11,②이동준,③김지영,⑥박석문,②1.5,②1.1,③1.9,②-③3.7,②-③3,②-③-⑥3.8,②-③-⑥9,②-③4.9
2022,33,1,12,①홍진수,⑥이재학,④신동길,①2.4,①1.4,⑥3.3,①-⑥15.3,①-⑥12.5,①-⑥-④15.5,①-⑥-④69.6,①-⑥29.1
2022,33,1,13,④김태규,⑤송효석,①권명호,④5.1,④1.5,⑤4.9,④-⑤16.5,④-⑤12.9,④-⑤-①10.6,④-⑤-①68.3,④-⑤23.6
2022,33,1,14,①김응선,④사재준/②염윤정,,①1.1,1,,①-②2.3,①-②2,①-②-④3.6,①-②-④4.5,①-②4
2022,33,1,15,②김완석,③손지영,①기광서,②1.4,②1.2,③1.8,②-③2.9,②-③2,②-③-①2.4,②-③-①6.5,②-③3.9
2022,33,1,16,②김도휘,④전두식,①김재윤,②1.1,②1,④3.2,②-④3.2,②-④4.1,②-④-①5.2,②-④-①11.3,②-④4.9
2022,33,1,17,②손유정,⑤우진수,①김효년,②1.3,②1.1,⑤1.9,②-⑤2.4,②-⑤1.6,②-⑤-①4,②-⑤-①8.1,②-⑤5.4
2022,33,2,1,②박설희,①오상현,④이경섭,②1.5,②1,①11.2,②-①14.4,②-①10.5,②-①-④10.9,②-①-④51.4,②-①19.8
2022,33,2,2,④이동준,⑥김민천,⑤신동길,④2.1,④1.2,⑥1.7,④-⑥5,④-⑥4.9,④-⑥-⑤13.7,④-⑥-⑤32.4,④-⑥16.9
2022,33,2,3,①김민준,④김현덕,②조규태,①1.4,①1,④2.7,①-④4.1,①-④3.5,①-④-②2.6,①-④-②9.2,①-④3.3
