RACE_YEAR,PLAYER_REGIST_NO,PLAYER_NM,PRACE_NCNT,PRACE_1R_NCNT,PRACE_2R_NCNT,PRACE_3R_NCNT,PRACE_4R_NCNT,PRACE_5R_NCNT,PRACE_6R_NCNT,AVRG_CKSN_SCORE_VALUE,AVRG_ACDNT_SCORE_VALUE,AVRG_SCORE_VALUE,AVRG_BEGIN_TIME_VALUE,VICTRY_RT,YUNDAE_RT,THREE_YUNDAE_RT,PLAYER_GRAD_NM,PLAYER_PN_NO
2014,02-012,김종민,57,20,21,6,3,4,1,8.35,0.44,7.91,0.19,35.1,71.9,82.5,,
2014,02-011,김정민,81,15,22,18,14,7,3,6.58,0.22,6.36,0.25,18.5,45.7,67.9,,
2014,02-010,김정구,55,11,9,8,9,12,4,5.35,0.47,4.87,0.27,20,36.4,50.9,,
2014,02-009,김재윤,57,5,9,10,10,7,15,4.4,0.24,4.17,0.27,8.8,24.6,42.1,,
2014,02-008,김민천,55,16,11,11,11,4,1,6.78,0.39,6.39,0.26,29.1,49.1,69.1,,
2014,02-005,김선필,62,6,4,14,12,14,11,4.24,0.27,3.97,0.28,9.7,16.1,38.7,,
2015,07-013,황이태,19,3,1,1,3,4,6,3.68,1.03,2.66,0.23,15.8,21.1,26.3,,
2015,07-011,정경호,18,0,1,5,3,6,2,3.56,0.69,2.86,0.29,0,5.6,33.3,,
2015,07-010,장수영,70,10,7,20,14,10,9,5.17,0.24,4.93,0.22,14.3,24.3,52.9,,
2015,07-009,윤동오,56,8,6,8,10,17,7,4.59,0.28,4.31,0.26,14.3,25,39.3,,
2015,07-008,류해광,75,18,17,10,14,6,10,6.07,0.08,5.99,0.24,24,46.7,60,,
2015,07-007,심상철,56,28,7,9,5,2,3,7.63,0.5,7.13,0.23,50,62.5,78.6,,
2015,07-006,손동민,64,12,17,12,9,9,4,6.03,0.41,5.62,0.26,18.8,45.3,64.1,,
2015,07-005,배혜민,65,9,10,14,6,13,13,4.88,0.18,4.69,0.28,13.8,29.2,50.8,,
2015,07-003,김승택,72,14,16,14,8,11,8,5.78,0.17,5.6,0.29,19.4,41.7,61.1,,
2015,06-013,양원준,65,9,23,12,13,5,2,6.31,0.45,5.86,0.25,13.8,49.2,67.7,,
2015,06-012,안지민,32,8,8,8,3,2,2,6.59,0.45,6.14,0.27,25,50,75,,
2015,06-009,손지영,17,2,3,4,3,3,1,5.18,0.41,4.76,0.26,11.8,29.4,52.9,,
2015,06-008,손제민,65,22,14,7,10,6,4,6.68,0.4,6.28,0.23,33.8,55.4,66.2,,
2015,06-007,박재경,3,0,0,0,1,2,0,2.67,0.17,2.5,0.29,0,0,0,,
2015,06-005,문주엽,59,4,9,17,17,5,7,5.08,0.27,4.81,0.28,6.8,22,50.8,,
2015,06-004,김동민,3,0,1,1,0,1,0,5.33,0.17,5.17,0.28,0,33.3,66.7,,
2015,06-001,권일혁,71,7,9,17,12,14,11,4.66,0.19,4.47,0.28,9.9,22.5,46.5,,
2015,05-012,최영재,70,20,16,10,12,5,7,6.54,0.29,6.26,0.23,28.6,51.4,65.7,,
2015,05-011,주은석,48,7,7,8,5,11,9,4.69,0.28,4.41,0.26,14.6,29.2,45.8,,
2015,05-010,이종인,63,8,12,15,9,9,9,5.22,0.38,4.84,0.32,12.7,31.7,55.6,,
2015,05-009,이승일,58,20,10,13,3,7,4,6.76,0.42,6.34,0.25,34.5,51.7,74.1,,
2015,05-008,여현창,27,4,5,3,5,5,5,5,0.22,4.78,0.2,14.8,33.3,44.4,,
2015,05-006,박종덕,49,7,7,5,13,10,5,4.76,0.48,4.28,0.23,14.3,28.6,38.8,,
2015,05-005,김희용,52,5,9,5,9,7,16,4.19,0.23,3.96,0.25,9.6,26.9,36.5,,
2015,05-003,김도환,27,4,1,3,6,4,7,3.89,0.93,2.96,0.22,14.8,18.5,29.6,,
2015,05-002,구본협,27,0,5,1,7,5,9,3.44,0.35,3.09,0.29,0,18.5,22.2,,
2015,05-001,고일수,62,21,13,10,6,7,4,6.73,0.35,6.37,0.2,33.9,54.8,71,,
2015,04-019,지현욱,3,0,0,1,0,2,0,3.33,0,3.33,0.23,0,0,33.3,,
2015,04-018,정재훈,10,0,2,0,1,3,3,2.9,1.2,1.7,0.29,0,20,20,,
2015,04-017,이흥우,61,3,7,8,10,23,9,3.75,0.35,3.4,0.27,4.9,16.4,29.5,,
2015,04-016,이창규,65,17,12,13,11,8,4,6.28,0.34,5.94,0.28,26.2,44.6,64.6,,
2015,04-013,이경원,21,3,1,3,3,4,6,3.9,0.64,3.26,0.2,14.3,19,33.3,,
2015,04-012,원용관,33,6,8,6,5,4,4,5.91,0.15,5.76,0.28,18.2,42.4,60.6,,
2015,04-011,어선규,86,43,22,12,5,4,0,8.37,0.15,8.22,0.19,50,75.6,89.5,,
2015,04-010,신동길,57,16,13,5,10,5,7,6.16,0.3,5.86,0.27,28.1,50.9,59.6,,
2015,04-008,박상현,69,9,13,11,18,10,7,5.2,0.23,4.97,0.24,13,31.9,47.8,,
2015,04-007,민영건,58,6,10,12,7,14,8,4.76,0.33,4.43,0.28,10.3,27.6,48.3,,
2015,04-005,김세원,78,12,10,12,15,18,11,4.86,0.06,4.8,0.33,15.4,28.2,43.6,,
2015,04-004,김경민,16,1,0,6,2,5,2,4.13,0.59,3.53,0.32,6.3,6.3,43.8,,
2015,04-002,구현구,67,21,14,10,11,6,3,6.64,0.52,6.12,0.25,31.3,52.2,67.2,,
2015,04-001,경상수,63,11,6,8,11,9,18,4.56,0.16,4.4,0.3,17.5,27,39.7,,
2015,03-015,이지수,65,6,9,13,11,11,15,4.48,0.14,4.34,0.28,9.2,23.1,43.1,,
2015,03-014,이주영,62,5,19,18,9,6,4,5.85,0.27,5.58,0.27,8.1,38.7,67.7,,
2015,03-012,이시원,50,8,3,9,9,10,10,4.5,0.33,4.17,0.24,16,22,40,,
2015,03-011,이미나,9,0,1,3,1,2,1,3.89,1.61,2.28,0.3,0,11.1,44.4,,
2015,03-009,서지혜,14,0,0,3,6,2,2,3.43,0.93,2.5,0.27,0,0,21.4,,
2015,03-008,박정아,77,18,20,15,8,7,8,6.39,0.23,6.16,0.23,23.4,49.4,68.8,,
2015,03-004,문안나,73,9,18,12,15,6,12,5.36,0.3,5.05,0.28,12.3,37,53.4,,
2015,02-040,한  운,50,3,1,9,13,10,13,3.54,0.36,3.18,0.28,6,8,26,,
2015,02-038,최재원,72,9,20,13,13,8,9,5.65,0.17,5.48,0.29,12.5,40.3,58.3,,
2015,02-037,최광성,32,5,6,5,10,2,2,5.44,1.02,4.42,0.29,15.6,34.4,50,,
2015,02-036,진석현,63,8,9,7,11,14,14,4.49,0.22,4.27,0.25,12.7,27,38.1,,
2015,02-032,이종우,19,0,3,3,4,5,2,3.68,1.34,2.34,0.23,0,15.8,31.6,,
2015,02-009,김재윤,69,8,9,13,16,10,12,4.72,0.18,4.54,0.3,11.6,24.6,43.5,,
2015,02-010,김정구,77,15,23,15,9,6,8,6.3,0.15,6.15,0.25,19.5,49.4,68.8,,
2015,02-011,김정민,77,14,14,16,11,11,11,5.58,0.12,5.47,0.28,18.2,36.4,57.1,,
2015,02-012,김종민,51,21,13,7,5,3,0,7.53,0.35,7.18,0.2,41.2,66.7,80.4,,
2015,02-015,김현철,26,12,7,5,2,0,0,8.31,0.17,8.13,0.26,46.2,73.1,92.3,,
2015,02-016,김효년,75,34,20,8,3,4,6,7.83,0.27,7.55,0.2,45.3,72,82.7,,
2015,02-019,박석문,77,20,15,16,16,6,4,6.52,0.23,6.29,0.21,26,45.5,66.2,,
2015,02-022,사재준,74,14,13,11,12,10,13,5.3,0.16,5.14,0.25,18.9,36.5,51.4,,
2015,02-023,손근성,72,13,10,21,10,11,6,5.63,0.29,5.33,0.28,18.1,31.9,61.1,,
2015,02-025,신동열,57,1,9,16,11,8,12,4.39,0.26,4.12,0.22,1.8,17.5,45.6,,
2015,02-027,윤영일,51,4,7,9,12,10,8,4.43,0.37,4.06,0.25,7.8,21.6,39.2,,
2015,02-029,이용세,69,20,15,7,10,9,5,6.2,0.36,5.85,0.22,29,50.7,60.9,,
2015,02-030,이장호,33,2,2,6,8,8,7,3.85,0.24,3.61,0.34,6.1,12.1,30.3,,
2015,01-006,권현기,54,5,4,6,12,18,8,3.89,0.36,3.53,0.36,9.3,16.7,27.8,,
2015,01-007,길현태,49,14,6,12,5,9,2,6.16,0.38,5.79,0.25,28.6,40.8,65.3,,
2015,01-008,김국흠,74,23,13,14,11,6,7,6.59,0.27,6.32,0.26,31.1,48.6,67.6,,
2015,01-009,김대선,77,13,13,10,15,15,11,5.17,0.21,4.95,0.23,16.9,33.8,46.8,,
2015,01-011,김명진,32,3,6,2,6,10,5,4.34,0.02,4.33,0.3,9.4,28.1,34.4,,
2015,01-013,김신오,62,4,19,13,4,10,10,5.15,0.44,4.7,0.21,6.5,37.1,58.1,,
2015,01-014,김영욱,25,3,0,4,5,8,5,3.8,0.16,3.64,0.25,12,12,28,,
2015,01-016,김종목,62,8,12,8,16,11,7,5.13,0.15,4.98,0.3,12.9,32.3,45.2,,
2015,01-017,김창규,68,16,15,13,12,5,6,6.21,0.18,6.03,0.21,23.5,45.6,64.7,,
2015,01-019,나병창,44,11,8,4,9,7,4,5.77,0.67,5.1,0.27,25,43.2,52.3,,
2015,01-022,박민수,53,5,5,10,11,8,11,4.17,0.53,3.64,0.28,9.4,18.9,37.7,,
2015,01-023,박영수,66,9,8,14,7,18,10,4.73,0.27,4.45,0.23,13.6,25.8,47,,
2015,01-026,서화모,58,17,15,8,9,7,1,6.72,0.41,6.32,0.26,29.3,55.2,69,,
2015,01-029,오세준,64,8,15,5,18,12,6,5.19,0.16,5.02,0.28,12.5,35.9,43.8,,
2015,01-031,윤영근,55,6,9,9,8,11,12,4.58,0.15,4.43,0.27,10.9,27.3,43.6,,
2015,01-035,이응석,22,9,2,4,0,4,3,6.59,0.11,6.48,0.25,40.9,50,68.2,,
2015,01-036,이태희,75,21,14,20,7,8,4,6.6,0.28,6.32,0.24,28,46.7,73.3,,
2015,01-037,이택근,64,5,9,10,14,17,8,4.38,0.28,4.09,0.24,7.8,21.9,37.5,,
2015,01-039,임인섭,31,0,4,4,5,10,8,3.35,0.31,3.05,0.3,0,12.9,25.8,,
2015,01-040,장영태,82,25,22,14,15,5,1,7.24,0.18,7.07,0.23,30.5,57.3,74.4,,
2015,01-042,정민수,90,28,22,13,14,7,5,6.87,0.18,6.68,0.21,31.1,55.6,70,,
2015,01-043,정용진,67,22,10,16,10,4,3,6.79,0.29,6.5,0.27,32.8,47.8,71.6,,
2015,01-044,정인교,74,11,14,15,9,13,10,5.26,0.24,5.02,0.24,14.9,33.8,54.1,,
2015,01-045,조현귀,64,8,8,16,7,9,15,4.7,0.17,4.53,0.27,12.5,25,50,,
2015,01-047,한  진,57,12,11,6,6,7,12,5.18,0.39,4.79,0.28,21.1,40.4,50.9,,
2015,01-048,황만주,60,5,8,6,11,16,14,4,0.28,3.73,0.34,8.3,21.7,31.7,,
2015,02-031,이재학,66,13,10,8,12,11,12,5.18,0.2,4.98,0.25,19.7,34.8,47,,
2015,02-002,김기한,53,5,8,9,14,13,4,4.79,0.24,4.56,0.34,9.4,24.5,41.5,,
2015,02-005,김선필,60,10,9,9,8,9,14,4.87,0.29,4.58,0.27,16.7,31.7,46.7,,
2015,02-008,김민천,64,26,11,7,8,3,7,6.91,0.33,6.58,0.24,40.6,57.8,68.8,,
2015,01-001,강지환,52,3,7,16,9,8,8,4.65,0.41,4.24,0.29,5.8,19.2,50,,
2015,01-002,강창효,59,4,13,12,6,9,14,4.61,0.27,4.34,0.28,6.8,28.8,49.2,,
2015,01-003,곽현성,57,16,9,6,10,6,8,5.77,0.39,5.38,0.27,28.1,43.9,54.4,,
2015,01-004,권명호,68,13,14,17,13,9,2,6.18,0.33,5.85,0.27,19.1,39.7,64.7,,
2015,13-009,최진혁,47,0,1,5,2,18,20,2.17,0.45,1.72,0.23,0,2.1,12.8,,
